color screen,,,color_screen is good .,nsubj####good####color_screen######cop####good####is
calendar,,,it has lots of features such as the calendar which works like my outlook_calendar .,nsubj####has####it######dobj####has####lots######prep_of####lots####features######det####calendar####the######prep_such_as####features####calendar######nsubj####works####calendar######rcmod####calendar####works######poss####outlook_calendar####my######prep_like####works####outlook_calendar
key,,,the keys are laid out normal so there is no guessing .,det####keys####the######nsubjpass####laid####keys######auxpass####laid####are######prep_out####laid####normal######mark####is####so######expl####is####there######advcl####laid####is######det####guessing####no######nsubj####is####guessing
menu,,,"navigating through the menus is super easy , especially if you have owned a previous model nokia phone .",csubj####easy####navigating######det####menus####the######prep_through####navigating####menus######cop####easy####is######advmod####easy####super######advmod####easy####especially######mark####owned####if######nsubj####owned####you######aux####owned####have######advcl####easy####owned######det####phone####a######amod####phone####previous######nn####phone####model######nn####phone####nokia######dobj####owned####phone
battery life,,,"battery_life is very good , i use it every day and i have to charge it every 5 or 6 days or so .",nsubj####good####battery_life######cop####good####is######advmod####good####very######nsubj####use####i######conj_and####good####use######dobj####use####it######det####day####every######tmod####use####day######nsubj####have####i######xsubj####charge####i######conj_and####good####have######aux####charge####to######xcomp####have####charge######iobj####charge####it######quantmod####5####every######num####days####5######conj_or####5####6######num####days####6######dobj####charge####days######cc####so####or######advmod####days####so
,,,cons :
,,,not many .,neg####many####not
volume key,,,"the volume_key can be hard to press , but i think this may be by design rather than a flaw , perhaps to keep you from pressing it accidentally when you are in a call .",det####volume_key####the######nsubj####hard####volume_key######aux####hard####can######cop####hard####be######aux####press####to######xcomp####hard####press######nsubj####think####i######conj_but####hard####think######nsubj####be####this######aux####be####may######ccomp####think####be######prep_by####be####design######det####flaw####a######prep_by####be####flaw######conj_negcc####design####flaw######advmod####keep####perhaps######aux####keep####to######xcomp####be####keep######dobj####keep####you######prepc_from####keep####pressing######dobj####pressing####it######advmod####pressing####accidentally######advmod####are####when######nsubj####are####you######advcl####keep####are######det####call####a######prep_in####are####call
pc cable,,,pc_cable is too expensive ... $ 50 for a usb cable ?,cop####expensive####is######advmod####expensive####too######rcmod####pc_cable####expensive######dep####pc_cable####$######num####$####50######det####cable####a######nn####cable####usb######prep_for####$####cable
,,,please !
,,,is this how nokia subsidizes their free pc_software ?,cop####nokia####is######nsubj####nokia####this######advmod####nokia####how######dep####nokia####subsidizes######poss####pc_software####their######amod####pc_software####free######dobj####subsidizes####pc_software
